Last Modified                  Path
2010-11-20 13:24:45 UTC+0000   \??\C:\Windows\Explorer.EXE
2009-07-14 01:39:37 UTC+0000   \??\C:\Windows\system32\SearchIndexer.exe
2019-03-01 00:47:07 UTC+0000   \??\C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
2019-01-25 13:34:08 UTC+0000   \??\C:\Program Files\FileZilla FTP Client\fzshellext_64.dll
2010-11-20 13:25:23 UTC+0000   \??\C:\Windows\system32\taskhost.exe
2010-11-20 13:27:23 UTC+0000   \??\C:\Windows\System32\prnfldr.dll
2009-07-14 01:39:21 UTC+0000   \??\C:\Windows\System32\msdtc.exe
2016-12-09 04:06:50 UTC+0000   \??\C:\Windows\system32\wbem\wmiprvse.exe
2010-11-20 13:26:25 UTC+0000   \??\C:\Windows\System32\gameux.dll
2010-11-20 13:25:27 UTC+0000   \??\C:\Windows\system32\vssvc.exe
2017-05-12 20:52:16 UTC+0000   \??\C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ManagementAgentHost.exe
2017-05-12 21:13:28 UTC+0000   \??\C:\Program Files\VMware\VMware Tools\vmtoolsd.exe
2010-11-20 13:27:22 UTC+0000   \??\C:\Windows\System32\networkexplorer.dll
2005-09-24 03:05:26 UTC+0000   \??\C:\Program Files (x86)\Adobe\Acrobat 7.0\Reader\reader_sl.exe
2010-11-20 12:17:34 UTC+0000   \??\C:\Windows\SysWOW64\runonce.exe
2017-05-12 20:34:32 UTC+0000   \??\C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe
2010-11-20 13:27:25 UTC+0000   \??\C:\Windows\System32\shdocvw.dll
2010-11-20 13:27:23 UTC+0000   \??\C:\Windows\System32\ntshrui.dll
2010-11-20 13:25:59 UTC+0000   \??\C:\Windows\System32\cscui.dll
2009-07-14 01:40:36 UTC+0000   \??\C:\Windows\System32\EhStorShell.dll
2019-03-09 09:18:41 UTC+0000   \??\C:\Users\Bob\AppData\Local\Microsoft\OneDrive\19.012.0121.0011\amd64\FileSyncShell64.dll
2009-07-14 01:39:08 UTC+0000   \??\C:\Windows\system32\Dwm.exe
2010-11-20 13:25:24 UTC+0000   \??\C:\Windows\system32\userinit.exe
2010-11-20 13:25:23 UTC+0000   \??\C:\Windows\system32\taskeng.exe
2016-06-25 16:03:37 UTC+0000   \??\C:\Windows\system32\EOSNotify.exe
2019-03-06 04:47:24 UTC+0000   \??\C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe
2010-11-20 13:25:21 UTC+0000   \??\C:\Windows\System32\spoolsv.exe
2010-11-20 13:24:53 UTC+0000   \??\C:\Windows\system32\lsm.exe
2015-02-03 03:30:31 UTC+0000   \??\C:\Windows\system32\lsass.exe
2009-07-14 01:39:37 UTC+0000   \??\C:\Windows\system32\services.exe
2009-07-14 01:39:51 UTC+0000   \??\C:\Windows\system32\werfault.exe
2012-06-02 22:19:42 UTC+0000   \??\C:\Windows\system32\wuauclt.exe
2010-11-20 13:25:04 UTC+0000   \??\C:\Windows\system32\sppsvc.exe
2012-07-09 03:24:30 UTC+0000   \??\C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe
2012-07-09 04:40:10 UTC+0000   \??\C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe
2010-11-20 13:25:23 UTC+0000   \??\C:\Windows\servicing\TrustedInstaller.exe
2010-11-20 13:25:36 UTC+0000   \??\C:\Windows\system32\wusa.exe
2010-11-20 13:25:36 UTC+0000   \??\C:\Windows\SysWOW64\wusa.exe
2010-11-20 13:25:36 UTC+0000   \??\C:\Windows\SysNative\wusa.exe
2010-11-20 13:24:58 UTC+0000   \??\C:\Windows\system32\MSIEXEC.EXE
2009-07-14 01:39:19 UTC+0000   \??\C:\Windows\system32\mmc.exe
2010-11-20 13:27:28 UTC+0000   \??\C:\Windows\System32\wpdshext.dll
2019-03-20 03:41:22 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesX64\Microsoft Office\Office16\MAPISHELL.DLL
2010-11-20 13:27:08 UTC+0000   \??\C:\Windows\System32\mssvp.dll
2010-11-20 13:26:03 UTC+0000   \??\C:\Windows\System32\DeviceCenter.dll
2019-03-22 04:20:10 UTC+0000   \??\C:\Users\Bob\Downloads\vc_redist.x64.exe
2009-07-14 01:41:26 UTC+0000   \??\C:\Program Files\Windows Defender\MpOAV.dll
2010-11-20 13:25:38 UTC+0000   \??\C:\Windows\System32\acppage.dll
2019-01-27 17:48:38 UTC+0000   \??\C:\Program Files\Notepad++\NppShell_06.dll
2010-11-20 13:27:26 UTC+0000   \??\C:\Windows\System32\syncui.dll
2010-11-20 13:27:33 UTC+0000   \??\C:\Windows\System32\zipfldr.dll
2010-11-20 13:27:27 UTC+0000   \??\C:\Windows\System32\twext.dll
2016-12-09 04:06:55 UTC+0000   \??\C:\Windows\system32\wbem\WmiApSrv.exe
2017-05-12 21:13:12 UTC+0000   \??\C:\Program Files\VMware\VMware Tools\VMwareResolutionSet.exe
2010-11-20 13:24:33 UTC+0000   \??\C:\Windows\system32\cmd.exe
2017-05-12 21:13:12 UTC+0000   \??\C:\Program Files\VMware\VMware Tools\poweron-vm-default.bat
2019-02-21 17:00:00 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\7z26CF7C40\Uninst.exe
2019-02-21 17:00:00 UTC+0000   \??\C:\Program Files\7-Zip\Uninstall.exe
2010-11-20 12:21:15 UTC+0000   \??\C:\Windows\SysWOW64\shdocvw.dll
2018-12-05 19:35:52 UTC+0000   \??\C:\Program Files\010 Editor\unins00a.exe
2009-07-14 01:39:29 UTC+0000   \??\C:\Windows\System32\regsvr32.exe
2019-03-08 02:31:50 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\_iu14D2N.tmp
2019-03-08 02:31:50 UTC+0000   \??\C:\Program Files\010 Editor\unins000.exe
2010-11-20 13:24:22 UTC+0000   \??\C:\Windows\System32\appwiz.cpl
2010-11-20 13:26:20 UTC+0000   \??\C:\Windows\System32\ExplorerFrame.dll
2009-07-14 01:14:18 UTC+0000   \??\C:\Windows\SysWOW64\DllHost.exe
2009-07-14 01:39:01 UTC+0000   \??\C:\Windows\System32\control.exe
2009-07-14 01:41:53 UTC+0000   \??\C:\Program Files\Windows Sidebar\sbdrop.dll
2019-03-22 01:24:36 UTC+0000   \??\C:\Users\Bob\AppData\Roaming\Adobe\Acrobat\7.0\7.exe
2019-03-22 02:02:13 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\ShellRunas.exe
2018-12-05 19:35:58 UTC+0000   \??\C:\Program Files\010 Editor\010Editor.exe
2009-07-14 01:41:53 UTC+0000   \??\C:\Windows\System32\PhotoMetadataHandler.dll
2017-05-12 21:13:12 UTC+0000   \??\C:\Program Files\VMware\VMware Tools\poweroff-vm-default.bat
2010-11-20 13:24:56 UTC+0000   \??\C:\Windows\System32\mobsync.exe
2017-05-12 21:13:12 UTC+0000   \??\C:\Program Files\VMware\VMware Tools\suspend-vm-default.bat
2017-05-12 21:13:12 UTC+0000   \??\C:\Program Files\VMware\VMware Tools\resume-vm-default.bat
2009-07-14 01:39:13 UTC+0000   \??\C:\Windows\system32\ipconfig.exe
2019-01-25 01:00:52 UTC+0000   \??\c:\Program Files\Common Files\Microsoft Shared\OfficeSoftwareProtectionPlatform\OSPPSVC.EXE
2010-11-20 13:25:12 UTC+0000   \??\C:\Windows\system32\schtasks.exe
2019-03-06 04:48:10 UTC+0000   \??\C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe
2016-12-09 04:07:16 UTC+0000   \??\C:\Windows\system32\wbem\WMIADAP.EXE
2019-03-20 03:40:15 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Office16\OcPubMgr.exe
2010-11-20 13:26:22 UTC+0000   \??\C:\Windows\System32\fontext.dll
2019-03-20 03:40:10 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Office16\msotd.exe
2009-07-14 01:14:35 UTC+0000   \??\C:\Windows\sysWow64\SearchProtocolHost.exe
2019-03-22 03:33:50 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\procexp64.exe
2019-03-22 02:01:59 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Desktops.exe
2019-03-22 02:01:55 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Autoruns.exe
2010-11-20 13:25:23 UTC+0000   \??\C:\Windows\system32\taskmgr.exe
2010-11-20 13:32:57 UTC+0000   \??\C:\Windows\system32\consent.exe
2019-03-22 03:05:06 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\mimikatz.exe
2010-11-20 13:27:22 UTC+0000   \??\C:\Windows\System32\mydocs.dll
2009-07-14 01:41:53 UTC+0000   \??\C:\Windows\System32\sendmail.dll
2019-03-22 03:26:04 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\aylmao.exe
2009-07-14 01:39:07 UTC+0000   \??\C:\Windows\system32\DrvInst.exe
2009-07-14 01:39:49 UTC+0000   \??\C:\Windows\System32\vdsldr.exe
2009-07-14 01:40:31 UTC+0000   \??\C:\Windows\System32\dmdskmgr.dll
2019-03-22 02:02:00 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\diskext.exe
2019-03-22 02:02:00 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\diskext64.exe
2010-11-20 13:25:05 UTC+0000   \??\C:\Windows\system32\recdisc.exe
2009-07-14 01:38:59 UTC+0000   \??\C:\Windows\system32\cleanmgr.exe
2010-11-20 13:24:35 UTC+0000   \??\C:\Windows\system32\dfrgui.exe
2019-03-22 02:02:10 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\psfile64.exe
2019-03-22 02:02:10 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\psfile.exe
2019-03-22 02:02:10 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\PsExec.exe
2019-03-22 02:02:10 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\PsExec64.exe
2019-03-22 02:02:09 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\procdump64.exe
2019-03-22 02:02:09 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\procdump.exe
2019-03-22 02:02:05 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\ntfsinfo64.exe
2019-03-22 02:02:05 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\pendmoves.exe
2019-03-22 02:02:05 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\pendmoves64.exe
2019-03-22 02:02:05 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\pipelist.exe
2019-03-22 02:02:05 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\pipelist64.exe
2019-03-22 02:02:09 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\procexp.exe
2019-03-22 02:02:10 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Procmon.exe
2019-03-22 02:02:08 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\portmon.exe
2019-03-22 02:02:09 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\procexp64.exe
2019-03-22 02:02:05 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\pagedfrg.exe
2019-03-22 02:02:00 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\efsdump.exe
2019-03-22 02:02:00 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\disk2vhd.exe
2019-03-22 02:02:00 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\du.exe
2019-03-22 02:02:00 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\du64.exe
2019-03-22 02:01:59 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Dbgview.exe
2019-03-22 02:01:58 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Contig.exe
2019-03-22 02:01:58 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Coreinfo.exe
2019-03-22 02:01:58 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\ctrl2cap.exe
2019-03-22 02:01:58 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Contig64.exe
2018-12-05 19:35:50 UTC+0000   \??\C:\Program Files\010 Editor\shlext010x64.dll
2019-02-21 16:00:00 UTC+0000   \??\C:\Program Files\7-Zip\7-zip.dll
2010-11-20 12:19:18 UTC+0000   \??\C:\Windows\SysWOW64\ieframe.dll
2019-03-22 02:01:58 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Clockres64.exe
2019-03-22 02:01:58 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Clockres.exe
2019-03-22 02:01:54 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Autologon.exe
2019-03-22 02:01:54 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\adrestore.exe
2019-03-22 02:02:17 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\accesschk64.exe
2019-03-22 02:02:17 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\accesschk.exe
2010-11-20 12:20:46 UTC+0000   \??\C:\Windows\SysWOW64\ntshrui.dll
2009-07-14 01:15:14 UTC+0000   \??\C:\Windows\SysWOW64\EhStorShell.dll
2019-03-09 09:18:04 UTC+0000   \??\C:\Users\Bob\AppData\Local\Microsoft\OneDrive\19.012.0121.0011\FileSyncShell.dll
2019-03-22 02:01:53 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\AccessEnum.exe
2019-03-22 02:01:53 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\ADExplorer.exe
2019-03-22 02:01:54 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\ADInsight.exe
2019-03-22 02:01:56 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Autoruns64.exe
2019-03-22 02:01:56 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\autorunsc.exe
2019-03-22 02:01:57 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\autorunsc64.exe
2019-03-22 02:01:58 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Bginfo.exe
2019-03-22 02:01:58 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Bginfo64.exe
2019-03-22 02:01:58 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Cacheset.exe
2010-11-20 13:27:23 UTC+0000   \??\C:\Program Files\Windows Photo Viewer\PhotoViewer.dll
2019-03-20 03:40:42 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Office16\URLREDIR.DLL
2019-03-20 03:40:15 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Office16\OCHelper.dll
2005-09-24 01:12:08 UTC+0000   \??\C:\Program Files (x86)\Adobe\Acrobat 7.0\ActiveX\AcroIEHelper.dll
2010-11-20 12:22:51 UTC+0000   \??\C:\Program Files (x86)\Internet Explorer\iexplore.exe
2009-07-14 01:39:26 UTC+0000   \??\C:\Windows\System32\pcaui.exe
2010-11-20 13:25:25 UTC+0000   \??\C:\Windows\System32\vds.exe
2019-03-22 02:02:14 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\sync.exe
2019-03-22 02:02:17 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Volumeid64.exe
2019-03-22 02:02:14 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\sync64.exe
2019-03-22 02:02:17 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Volumeid.exe
2019-03-22 02:02:00 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\Diskmon.exe
2019-03-22 02:02:00 UTC+0000   \??\C:\Users\Bob\Desktop\SysInternals\DiskView.exe
2019-01-25 13:34:08 UTC+0000   \??\C:\Program Files\FileZilla FTP Client\fzshellext.dll
2010-11-20 12:17:39 UTC+0000   \??\C:\Program Files (x86)\Windows Media Player\setup_wm.exe
2019-03-22 03:26:04 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\flightsim-windows-amd64.exe
2019-03-08 02:03:13 UTC+0000   \??\C:\Program Files\Common Files\AVAST Software\Overseer\overseer.exe
2019-03-06 02:00:20 UTC+0000   \??\C:\Program Files\Notepad++\notepad++.exe
2009-07-14 01:14:45 UTC+0000   \??\C:\Windows\SysWOW64\whoami.exe
2009-07-14 01:14:45 UTC+0000   \??\C:\Windows\system32\whoami.exe
2010-11-20 12:17:00 UTC+0000   \??\C:\Windows\SysWOW64\cmd.exe
2010-11-20 12:17:00 UTC+0000   \??\C:\Windows\system32\cmd.exe
2009-07-14 01:39:48 UTC+0000   \??\C:\Windows\system32\UserAccountControlSettings.exe
2019-03-20 03:40:16 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Office16\msoia.exe
2019-03-20 03:41:11 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\VFS\ProgramFilesCommonX86\Microsoft Shared\Office16\sdxhelper.exe
2010-11-20 13:27:25 UTC+0000   \??\C:\Windows\System32\SearchFolder.dll
2009-07-14 01:39:51 UTC+0000   \??\C:\Windows\system32\wermgr.exe
2009-07-14 01:14:12 UTC+0000   \??\C:\Windows\SysWOW64\attrib.exe
2009-07-14 01:14:12 UTC+0000   \??\C:\Windows\system32\attrib.exe
2019-03-22 02:45:45 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\rad9781B.tmp\aEPOLIZvndtH.exe
2009-07-14 01:14:49 UTC+0000   \??\C:\Windows\SysWOW64\wscript.exe
2009-07-14 01:14:49 UTC+0000   \??\C:\Windows\System32\wscript.exe
2019-03-22 02:44:27 UTC+0000   \??\C:\Users\Bob\Desktop\hfs.exe
2019-03-22 02:36:36 UTC+0000   \??\C:\Users\Bob\Downloads\FileZilla_Server-0_9_60_2.exe
2009-07-14 01:14:44 UTC+0000   \??\C:\Windows\SysWOW64\WerFault.exe
2019-03-08 03:34:00 UTC+0000   \??\C:\$Recycle.Bin\S-1-5-21-1497316740-357279761-3945674337-1000\$RLUERRD.exe
2009-07-14 01:39:25 UTC+0000   \??\C:\Users\Bob\Desktop\howudoin.exe
2009-07-14 01:40:28 UTC+0000   \??\C:\Windows\System32\DfsShlEx.dll
2009-07-14 01:41:53 UTC+0000   \??\C:\Windows\System32\rshx32.dll
2009-07-14 01:14:42 UTC+0000   \??\C:\Windows\SysWOW64\taskkill.exe
2009-07-14 01:14:42 UTC+0000   \??\C:\Windows\System32\taskkill.exe
2019-03-21 19:32:12 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\_iu14D2N.tmp
2019-03-21 19:32:12 UTC+0000   \??\C:\Program Files (x86)\Microsoft\Skype for Desktop\unins000.exe
2019-03-08 03:34:30 UTC+0000   \??\C:\Program Files (x86)\Resource Hacker\unins000.exe
2019-02-09 18:26:22 UTC+0000   \??\C:\Program Files\FileZilla FTP Client\uninstall.exe
2019-02-09 18:42:44 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Client\AppVLP.exe
2009-07-14 01:39:52 UTC+0000   \??\C:\Windows\system32\WindowsAnytimeUpgradeUI.exe
2009-07-14 01:41:54 UTC+0000   \??\C:\Windows\System32\wbem\ServDeps.dll
2009-07-14 01:40:53 UTC+0000   \??\C:\Windows\System32\filemgmt.dll
2019-03-22 01:24:36 UTC+0000   \??\C:\Users\Bob\AppData\Roaming\Adobe\Acrobat\7.0\swap.exe
2009-07-14 01:39:47 UTC+0000   \??\C:\Windows\system32\tasklist.exe
2009-07-14 01:39:29 UTC+0000   \??\C:\Windows\regedit.exe
2009-07-14 01:39:29 UTC+0000   \??\C:\Windows\System32\reg.exe
2019-01-03 16:06:06 UTC+0000   \??\C:\Program Files (x86)\Resource Hacker\ResourceHacker.exe
2010-11-20 13:25:00 UTC+0000   \??\C:\Windows\system32\mstsc.exe
2015-02-03 03:31:01 UTC+0000   \??\C:\Windows\System32\mf.dll
2019-03-22 01:24:36 UTC+0000   \??\C:\Users\Bob\Downloads\swap.exe
2019-02-09 18:57:39 UTC+0000   \??\C:\Users\Bob\Downloads\ce5d6531062f957b5fe2ca973fe5335b-AcrobatReader_7.05_FR.exe
2019-03-21 03:09:40 UTC+0000   \??\C:\Users\Bob\Downloads\dotNetFx45_Full_setup.exe
2019-03-08 03:34:00 UTC+0000   \??\C:\Users\Bob\Downloads\reshacker_setup.exe
2019-02-09 18:25:54 UTC+0000   \??\C:\Users\Bob\Downloads\FileZilla_3.40.0_win64-setup_bundled.exe
2019-02-09 18:34:59 UTC+0000   \??\C:\Users\Bob\Downloads\Setup.X86.en-us_O365ProPlusRetail_0c04ef54-32af-4aa8-a492-0311ff6dfc42_TX_PR_b_32_.exe
2019-03-08 02:31:33 UTC+0000   \??\C:\Users\Bob\Downloads\010EditorWin64Installer901.exe
2019-03-08 02:36:07 UTC+0000   \??\C:\Users\Bob\Downloads\HashTab_v6.0.0.34_Setup.exe
2019-03-08 03:29:55 UTC+0000   \??\C:\Users\Bob\Downloads\npp.7.6.4.Installer.x64.exe
2019-03-21 19:32:02 UTC+0000   \??\C:\Users\Bob\Downloads\Skype-8.41.0.54.exe
2019-03-08 02:33:55 UTC+0000   \??\C:\Users\Bob\Downloads\7z1900-x64.exe
2019-03-22 01:21:05 UTC+0000   \??\C:\Users\Bob\Downloads\AccessData_FTK_Imager_3.4.3_x64.exe
2019-03-07 23:06:58 UTC+0000   \??\C:\Program Files (x86)\Microsoft\Skype for Desktop\Skype.exe
2010-11-20 12:17:22 UTC+0000   \??\C:\Windows\syswow64\MsiExec.exe
2010-11-20 13:25:29 UTC+0000   \??\C:\Windows\system32\WFS.exe
2016-12-09 13:26:47 UTC+0000   \??\C:\Windows\sysWOW64\WindowsPowerShell\v1.0\PowerShell_ISE.exe
2016-12-09 19:45:10 UTC+0000   \??\C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe
2016-12-09 01:35:04 UTC+0000   \??\C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe
2009-07-14 01:39:35 UTC+0000   \??\C:\Windows\System32\sc.exe
2009-07-14 01:39:26 UTC+0000   \??\C:\Windows\system32\osk.exe
2009-07-14 01:39:47 UTC+0000   \??\C:\Windows\system32\taskkill.exe
2009-07-14 01:16:12 UTC+0000   \??\C:\Windows\SysWOW64\PhotoMetadataHandler.dll
2010-11-20 12:19:53 UTC+0000   \??\C:\Windows\SysWOW64\mssvp.dll
2010-11-20 12:20:29 UTC+0000   \??\C:\Windows\SysWOW64\networkexplorer.dll
2009-07-14 01:14:30 UTC+0000   \??\C:\Windows\SysWOW64\reg.exe
2009-07-14 01:14:30 UTC+0000   \??\C:\Windows\system32\reg.exe
2019-03-21 19:32:12 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\is-NFEF3.tmp\Skype-8.41.0.54.tmp
2019-03-21 19:32:10 UTC+0000   \??\C:\Users\Bob\AppData\Local\Temp\is-6DU39.tmp\Skype-8.41.0.54.tmp
2019-03-20 03:41:11 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonx86\Microsoft Shared\Office16\OLicenseHeartbeat.exe
2009-07-14 01:39:16 UTC+0000   \??\C:\Windows\system32\makecab.exe
2010-11-20 13:24:53 UTC+0000   \??\C:\Windows\system32\mcbuilder.exe
2009-07-14 01:39:16 UTC+0000   \??\C:\Windows\system32\lpremove.exe
2009-07-14 01:39:20 UTC+0000   \??\c:\program files\windows defender\MpCmdRun.exe
2009-07-14 01:40:32 UTC+0000   \??\C:\Windows\System32\docprop.dll
2017-07-12 00:26:36 UTC+0000   \??\C:\Program Files\HashTab Shell Extension\HashTab64-6.0.0.34.dll
2009-07-14 01:40:24 UTC+0000   \??\C:\Windows\System32\cryptext.dll
2009-07-14 01:39:25 UTC+0000   \??\C:\Users\Bob\Desktop\a.exe
2009-07-14 01:39:25 UTC+0000   \??\C:\Users\Bob\Desktop\notepad.exe
2010-11-20 13:25:06 UTC+0000   \??\C:\Windows\System32\nltest.exe
2010-11-05 01:53:07 UTC+0000   \??\C:\Windows\System32\PresentationHost.exe
2011-04-09 06:58:56 UTC+0000   \??\C:\Windows\System32\poqexec.exe
2009-07-14 01:39:27 UTC+0000   \??\C:\Windows\System32\powercfg.exe
2009-07-14 01:38:55 UTC+0000   \??\C:\Windows\System32\AdapterTroubleshooter.exe
2009-07-14 01:41:57 UTC+0000   \??\C:\Program Files\Windows Media Player\WMPNSSUI.dll
2009-07-14 01:39:21 UTC+0000   \??\C:\Windows\system32\msg.exe
2009-07-14 01:39:47 UTC+0000   \??\C:\Program Files\Common Files\Microsoft Shared\Ink\TabTip.exe
2010-11-20 13:28:25 UTC+0000   \??\C:\Program Files\Internet Explorer\iexplore.exe
2009-07-14 01:39:26 UTC+0000   \??\C:\Windows\system32\PING.EXE
