Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8003c72b30 System                    4      0     87      547 ------      0 2019-03-22 05:31:55 UTC+0000                                 
0xfffffa8004616040 smss.exe                252      4      2       30 ------      0 2019-03-22 05:31:55 UTC+0000                                 
0xfffffa8004300620 taskeng.exe            1156    820      4       93      1      0 2019-03-22 05:34:14 UTC+0000                                 
0xfffffa8004330b30 sppsvc.exe             3260    476      4      149      0      0 2019-03-22 05:34:15 UTC+0000                                 
0xfffffa800432f060 svchost.exe            3300    476     13      346      0      0 2019-03-22 05:34:15 UTC+0000                                 
0xfffffa800474c060 OUTLOOK.EXE            3688   1432     30     2023      1      1 2019-03-22 05:34:37 UTC+0000                                 
0xfffffa800474fb30 taskmgr.exe            3792   1432      6      134      1      0 2019-03-22 05:34:38 UTC+0000                                 
0xfffffa8005d067d0 StikyNot.exe           1628   1432      8      183      1      0 2019-03-22 05:34:42 UTC+0000                                 
0xfffffa8004798320 calc.exe               3548   1432      3       77      1      0 2019-03-22 05:34:43 UTC+0000                                 
0xfffffa80047cb060 iexplore.exe           3576    592     12      403      1      1 2019-03-22 05:34:48 UTC+0000                                 
0xfffffa80047e9540 iexplore.exe           2780   3576      6      233      1      1 2019-03-22 05:34:48 UTC+0000                                 
0xfffffa8004905620 hfs.exe                3952   1432      6      214      1      1 2019-03-22 05:34:51 UTC+0000                                 
0xfffffa80053d3060 POWERPNT.EXE           4048   1432     23      765      1      1 2019-03-22 05:35:09 UTC+0000                                 
0xfffffa8004083880 FTK Imager.exe         3192   1432      6      353      1      0 2019-03-22 05:35:12 UTC+0000                                 
0xfffffa80042dbb30 chrome.exe             3248   1432     32      841      1      0 2019-03-22 05:35:14 UTC+0000                                 
0xfffffa80047beb30 chrome.exe             3244   3248      7       91      1      0 2019-03-22 05:35:15 UTC+0000                                 
0xfffffa80052f0060 chrome.exe             2100   3248      2       59      1      0 2019-03-22 05:35:15 UTC+0000                                 
0xfffffa80053306f0 chrome.exe             1816   3248     14      328      1      0 2019-03-22 05:35:16 UTC+0000                                 
0xfffffa8005300b30 chrome.exe             4156   3248     14      216      1      0 2019-03-22 05:35:17 UTC+0000                                 
0xfffffa8005442b30 chrome.exe             4232   3248     14      233      1      0 2019-03-22 05:35:17 UTC+0000                                 
0xfffffa8005419b30 chrome.exe             4240   3248     14      215      1      0 2019-03-22 05:35:17 UTC+0000                                 
0xfffffa800540db30 chrome.exe             4520   3248     10      234      1      0 2019-03-22 05:35:18 UTC+0000                                 
0xfffffa80053cbb30 chrome.exe             4688   3248     13      168      1      0 2019-03-22 05:35:19 UTC+0000                                 
0xfffffa8005a80060 wscript.exe            5116   3952      8      312      1      1 2019-03-22 05:35:32 UTC+0000                                 
0xfffffa8005a1d9e0 UWkpjFjDzM.exe         3496   5116      5      109      1      1 2019-03-22 05:35:33 UTC+0000                                 
0xfffffa8005bb0060 cmd.exe                4660   3496      1       33      1      1 2019-03-22 05:35:36 UTC+0000                                 
0xfffffa8005c1ab30 conhost.exe            4656    372      2       49      1      0 2019-03-22 05:35:36 UTC+0000                                 
